Game ID,Date,Matchup,Simulated Winner,Actual Winner,Correctly Predicted,Confidence
777331,2025-06-27,Washington Nationals vs Los Angeles Angels,Los Angeles Angels,Washington Nationals,0,1.0
777332,2025-06-27,Miami Marlins vs Arizona Diamondbacks,Arizona Diamondbacks,Miami Marlins,0,1.0
777334,2025-06-27,Minnesota Twins vs Detroit Tigers,Minnesota Twins,Minnesota Twins,1,1.0
777335,2025-06-27,Los Angeles Dodgers vs Kansas City Royals,Kansas City Royals,Los Angeles Dodgers,0,1.0
777336,2025-06-27,Chicago Cubs vs Houston Astros,Houston Astros,Houston Astros,1,1.0
777337,2025-06-27,Athletics vs New York Yankees,New York Yankees,New York Yankees,1,1.0
777338,2025-06-27,San Francisco Giants vs Chicago White Sox,Chicago White Sox,San Francisco Giants,0,1.0
777339,2025-06-27,Colorado Rockies vs Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,0,1.0
777340,2025-06-27,Seattle Mariners vs Texas Rangers,Seattle Mariners,Seattle Mariners,1,1.0
777341,2025-06-27,New York Mets vs Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,0,1.0
777342,2025-06-27,Philadelphia Phillies vs Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,1,1.0
777343,2025-06-27,Tampa Bay Rays vs Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1.0
777345,2025-06-27,Toronto Blue Jays vs Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777346,2025-06-27,San Diego Padres vs Cincinnati Reds,San Diego Padres,Cincinnati Reds,0,1.0
777349,2025-06-27,St. Louis Cardinals vs Cleveland Guardians,Cleveland Guardians,St. Louis Cardinals,0,1.0
777271,2025-07-02,Athletics vs Tampa Bay Rays,Athletics,Tampa Bay Rays,0,1.0
777272,2025-07-02,St. Louis Cardinals vs Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates,0,1.0
777273,2025-07-02,San Diego Padres vs Philadelphia Phillies,San Diego Padres,San Diego Padres,1,1.0
777275,2025-07-02,Minnesota Twins vs Miami Marlins,Miami Marlins,Minnesota Twins,0,1.0
777284,2025-07-02,Detroit Tigers vs Washington Nationals,Detroit Tigers,Detroit Tigers,1,1.0
777289,2025-07-02,Milwaukee Brewers vs New York Mets,Milwaukee Brewers,Milwaukee Brewers,1,1.0
777294,2025-07-02,Cincinnati Reds vs Boston Red Sox,Cincinnati Reds,Boston Red Sox,0,1.0
777263,2025-07-03,Minnesota Twins vs Miami Marlins,Miami Marlins,Miami Marlins,1,1.0
777264,2025-07-03,Houston Astros vs Colorado Rockies,Houston Astros,Colorado Rockies,0,1.0
777235,2025-07-04,Houston Astros vs Los Angeles Dodgers,Los Angeles Dodgers,Houston Astros,0,1.0
777236,2025-07-04,Pittsburgh Pirates vs Seattle Mariners,Pittsburgh Pirates,Seattle Mariners,0,1.0
777239,2025-07-04,Texas Rangers vs San Diego Padres,Texas Rangers,San Diego Padres,0,1.0
777242,2025-07-04,Los Angeles Angels vs Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777243,2025-07-04,Chicago White Sox vs Colorado Rockies,Colorado Rockies,Chicago White Sox,0,1.0
777244,2025-07-04,San Francisco Giants vs Athletics,San Francisco Giants,Athletics,0,1.0
777245,2025-07-04,Boston Red Sox vs Washington Nationals,Washington Nationals,Boston Red Sox,0,1.0
777246,2025-07-04,St. Louis Cardinals vs Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1.0
777247,2025-07-04,Tampa Bay Rays vs Minnesota Twins,Minnesota Twins,Minnesota Twins,1,1.0
777248,2025-07-04,Kansas City Royals vs Arizona Diamondbacks,Arizona Diamondbacks,Kansas City Royals,0,1.0
777249,2025-07-04,Detroit Tigers vs Cleveland Guardians,Cleveland Guardians,Detroit Tigers,0,1.0
777250,2025-07-04,New York Yankees vs New York Mets,New York Yankees,New York Mets,0,1.0
777252,2025-07-04,Baltimore Orioles vs Atlanta Braves,Baltimore Orioles,Baltimore Orioles,1,1.0
777254,2025-07-04,Milwaukee Brewers vs Miami Marlins,Miami Marlins,Milwaukee Brewers,0,1.0
777255,2025-07-04,Cincinnati Reds vs Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds,1,1.0
777202,2025-07-07,Cleveland Guardians vs Houston Astros,Houston Astros,Cleveland Guardians,0,0.73
777211,2025-07-07,Tampa Bay Rays vs Detroit Tigers,Tampa Bay Rays,Detroit Tigers,0,0.63
777201,2025-07-07,Los Angeles Dodgers vs Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,0,0.6
777199,2025-07-07,Philadelphia Phillies vs San Francisco Giants,Philadelphia Phillies,San Francisco Giants,0,0.58
777212,2025-07-07,Toronto Blue Jays vs Chicago White Sox,Chicago White Sox,Toronto Blue Jays,0,0.58
777203,2025-07-07,Arizona Diamondbacks vs San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,1,0.58
777200,2025-07-07,Texas Rangers vs Los Angeles Angels,Los Angeles Angels,Los Angeles Angels,1,0.57
777209,2025-07-07,Colorado Rockies vs Boston Red Sox,Colorado Rockies,Boston Red Sox,0,0.54
777204,2025-07-07,Pittsburgh Pirates vs Kansas City Royals,Kansas City Royals,Kansas City Royals,1,0.52
777208,2025-07-07,Miami Marlins vs Cincinnati Reds,Cincinnati Reds,Miami Marlins,0,0.52
777185,2025-07-08,Arizona Diamondbacks vs San Diego Padres,Arizona Diamondbacks,San Diego Padres,0,1.0
777186,2025-07-08,Philadelphia Phillies vs San Francisco Giants,Philadelphia Phillies,San Francisco Giants,0,1.0
777187,2025-07-08,Seattle Mariners vs New York Yankees,Seattle Mariners,New York Yankees,0,1.0
777189,2025-07-08,Atlanta Braves vs Athletics,Atlanta Braves,Athletics,0,1.0
777190,2025-07-08,Chicago Cubs vs Minnesota Twins,Chicago Cubs,Minnesota Twins,0,1.0
777191,2025-07-08,Washington Nationals vs St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,0,1.0
777192,2025-07-08,Cleveland Guardians vs Houston Astros,Houston Astros,Cleveland Guardians,0,1.0
777193,2025-07-08,Los Angeles Dodgers vs Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,0,1.0
777194,2025-07-08,Pittsburgh Pirates vs Kansas City Royals,Pittsburgh Pirates,Kansas City Royals,0,1.0
777195,2025-07-08,Tampa Bay Rays vs Detroit Tigers,Tampa Bay Rays,Detroit Tigers,0,1.0
777196,2025-07-08,Colorado Rockies vs Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1.0
777197,2025-07-08,Miami Marlins vs Cincinnati Reds,Miami Marlins,Miami Marlins,1,1.0
777198,2025-07-08,New York Mets vs Baltimore Orioles,Baltimore Orioles,New York Mets,0,1.0
777163,2025-07-09,Philadelphia Phillies vs San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,1,1.0
777172,2025-07-09,Toronto Blue Jays vs Chicago White Sox,Chicago White Sox,Chicago White Sox,1,1.0
777175,2025-07-09,Los Angeles Dodgers vs Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,0,1.0
777156,2025-07-10,Atlanta Braves vs Athletics,Athletics,Athletics,1,1.0
777158,2025-07-10,Arizona Diamondbacks vs San Diego Padres,San Diego Padres,San Diego Padres,1,1.0
777165,2025-07-10,New York Mets vs Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1.0
777166,2025-07-10,Chicago Cubs vs Minnesota Twins,Chicago Cubs,Chicago Cubs,1,1.0
777167,2025-07-10,Washington Nationals vs St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,0,1.0
777168,2025-07-10,Miami Marlins vs Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,1,1.0
777169,2025-07-10,Seattle Mariners vs New York Yankees,Seattle Mariners,New York Yankees,0,1.0
777170,2025-07-10,Tampa Bay Rays vs Boston Red Sox,Tampa Bay Rays,Boston Red Sox,0,1.0
777181,2025-07-10,New York Mets vs Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1.0
777139,2025-07-11,Philadelphia Phillies vs San Diego Padres,San Diego Padres,San Diego Padres,1,1.0
777143,2025-07-11,Los Angeles Dodgers vs San Francisco Giants,San Francisco Giants,San Francisco Giants,1,1.0
777146,2025-07-11,Cleveland Guardians vs Chicago White Sox,Chicago White Sox,Chicago White Sox,1,1.0
777147,2025-07-11,Atlanta Braves vs St. Louis Cardinals,St. Louis Cardinals,Atlanta Braves,0,1.0
777148,2025-07-11,Pittsburgh Pirates vs Minnesota Twins,Pittsburgh Pirates,Minnesota Twins,0,1.0
777149,2025-07-11,Washington Nationals vs Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,1.0
777150,2025-07-11,Arizona Diamondbacks vs Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels,0,1.0
777151,2025-07-11,New York Mets vs Kansas City Royals,Kansas City Royals,New York Mets,0,1.0
777152,2025-07-11,Toronto Blue Jays vs Athletics,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777153,2025-07-11,Chicago Cubs vs New York Yankees,Chicago Cubs,New York Yankees,0,1.0
777154,2025-07-11,Texas Rangers vs Houston Astros,Texas Rangers,Texas Rangers,1,1.0
777155,2025-07-11,Tampa Bay Rays vs Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1.0
777157,2025-07-11,Miami Marlins vs Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1.0
777160,2025-07-11,Colorado Rockies vs Cincinnati Reds,Cincinnati Reds,Colorado Rockies,0,1.0
777161,2025-07-11,Seattle Mariners vs Detroit Tigers,Detroit Tigers,Seattle Mariners,0,1.0
777164,2025-07-11,Cleveland Guardians vs Chicago White Sox,Chicago White Sox,Cleveland Guardians,0,1.0
777126,2025-07-12,Philadelphia Phillies vs San Diego Padres,San Diego Padres,San Diego Padres,1,1.0
777127,2025-07-12,Los Angeles Dodgers vs San Francisco Giants,San Francisco Giants,Los Angeles Dodgers,0,1.0
777131,2025-07-12,Arizona Diamondbacks vs Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels,0,1.0
777132,2025-07-12,Toronto Blue Jays vs Athletics,Athletics,Athletics,1,1.0
777133,2025-07-12,Atlanta Braves vs St. Louis Cardinals,Atlanta Braves,Atlanta Braves,1,1.0
777134,2025-07-12,Pittsburgh Pirates vs Minnesota Twins,Minnesota Twins,Minnesota Twins,1,1.0
777135,2025-07-12,Washington Nationals vs Milwaukee Brewers,Washington Nationals,Milwaukee Brewers,0,1.0
777136,2025-07-12,New York Mets vs Kansas City Royals,New York Mets,New York Mets,1,1.0
777137,2025-07-12,Texas Rangers vs Houston Astros,Houston Astros,Houston Astros,1,1.0
777138,2025-07-12,Cleveland Guardians vs Chicago White Sox,Chicago White Sox,Cleveland Guardians,0,1.0
777140,2025-07-12,Colorado Rockies vs Cincinnati Reds,Colorado Rockies,Cincinnati Reds,0,1.0
777141,2025-07-12,Miami Marlins vs Baltimore Orioles,Miami Marlins,Miami Marlins,1,1.0
777142,2025-07-12,Chicago Cubs vs New York Yankees,Chicago Cubs,Chicago Cubs,1,1.0
777144,2025-07-12,Tampa Bay Rays vs Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1.0
777145,2025-07-12,Seattle Mariners vs Detroit Tigers,Detroit Tigers,Seattle Mariners,0,1.0
777098,2025-07-18,Detroit Tigers vs Texas Rangers,Detroit Tigers,Texas Rangers,0,1.0
777099,2025-07-18,Houston Astros vs Seattle Mariners,Houston Astros,Seattle Mariners,0,1.0
777100,2025-07-18,St. Louis Cardinals vs Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,0,1.0
777101,2025-07-18,Boston Red Sox vs Chicago Cubs,Boston Red Sox,Chicago Cubs,0,1.0
777102,2025-07-18,Minnesota Twins vs Colorado Rockies,Colorado Rockies,Colorado Rockies,1,1.0
777103,2025-07-18,Milwaukee Brewers vs Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,0,1.0
777105,2025-07-18,Athletics vs Cleveland Guardians,Athletics,Cleveland Guardians,0,1.0
777106,2025-07-18,Los Angeles Angels vs Philadelphia Phillies,Philadelphia Phillies,Los Angeles Angels,0,1.0
777107,2025-07-18,Chicago White Sox vs Pittsburgh Pirates,Chicago White Sox,Chicago White Sox,1,1.0
777108,2025-07-18,San Francisco Giants vs Toronto Blue Jays,San Francisco Giants,Toronto Blue Jays,0,1.0
777109,2025-07-18,Kansas City Royals vs Miami Marlins,Miami Marlins,Miami Marlins,1,1.0
777110,2025-07-18,Baltimore Orioles vs Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,0,1.0
777111,2025-07-18,Cincinnati Reds vs New York Mets,Cincinnati Reds,Cincinnati Reds,1,1.0
777112,2025-07-18,San Diego Padres vs Washington Nationals,San Diego Padres,San Diego Padres,1,1.0
777114,2025-07-18,New York Yankees vs Atlanta Braves,Atlanta Braves,Atlanta Braves,1,1.0
777080,2025-07-19,Minnesota Twins vs Colorado Rockies,Colorado Rockies,Colorado Rockies,1,1.0
777081,2025-07-19,St. Louis Cardinals vs Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks,1,1.0
777085,2025-07-19,Milwaukee Brewers vs Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,0,1.0
777086,2025-07-19,Houston Astros vs Seattle Mariners,Houston Astros,Seattle Mariners,0,1.0
777088,2025-07-19,Detroit Tigers vs Texas Rangers,Detroit Tigers,Texas Rangers,0,1.0
777089,2025-07-19,Los Angeles Angels vs Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,1.0
777090,2025-07-19,Chicago White Sox vs Pittsburgh Pirates,Chicago White Sox,Chicago White Sox,1,1.0
777091,2025-07-19,San Diego Padres vs Washington Nationals,Washington Nationals,Washington Nationals,1,1.0
777092,2025-07-19,Cincinnati Reds vs New York Mets,Cincinnati Reds,Cincinnati Reds,1,1.0
777093,2025-07-19,Kansas City Royals vs Miami Marlins,Kansas City Royals,Miami Marlins,0,1.0
777094,2025-07-19,San Francisco Giants vs Toronto Blue Jays,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777095,2025-07-19,Baltimore Orioles vs Tampa Bay Rays,Tampa Bay Rays,Tampa Bay Rays,1,1.0
777096,2025-07-19,Boston Red Sox vs Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1.0
777097,2025-07-19,New York Yankees vs Atlanta Braves,New York Yankees,New York Yankees,1,1.0
777104,2025-07-19,Athletics vs Cleveland Guardians,Athletics,Athletics,1,1.0
777067,2025-07-20,Houston Astros vs Seattle Mariners,Seattle Mariners,Houston Astros,0,1.0
777070,2025-07-20,Milwaukee Brewers vs Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,0,1.0
777071,2025-07-20,St. Louis Cardinals vs Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks,0,1.0
777072,2025-07-20,Minnesota Twins vs Colorado Rockies,Colorado Rockies,Minnesota Twins,0,1.0
777073,2025-07-20,Detroit Tigers vs Texas Rangers,Texas Rangers,Detroit Tigers,0,1.0
777074,2025-07-20,Chicago White Sox vs Pittsburgh Pirates,Pittsburgh Pirates,Chicago White Sox,0,1.0
777075,2025-07-20,Boston Red Sox vs Chicago Cubs,Boston Red Sox,Boston Red Sox,1,1.0
777076,2025-07-20,Baltimore Orioles vs Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,0,1.0
777077,2025-07-20,San Diego Padres vs Washington Nationals,San Diego Padres,San Diego Padres,1,1.0
777078,2025-07-20,Los Angeles Angels vs Philadelphia Phillies,Los Angeles Angels,Los Angeles Angels,1,1.0
777079,2025-07-20,San Francisco Giants vs Toronto Blue Jays,San Francisco Giants,Toronto Blue Jays,0,1.0
777082,2025-07-20,Kansas City Royals vs Miami Marlins,Miami Marlins,Kansas City Royals,0,1.0
777083,2025-07-20,New York Yankees vs Atlanta Braves,Atlanta Braves,New York Yankees,0,1.0
777084,2025-07-20,Athletics vs Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,1.0
777087,2025-07-20,Cincinnati Reds vs New York Mets,Cincinnati Reds,New York Mets,0,1.0
777050,2025-07-21,Milwaukee Brewers vs Seattle Mariners,Milwaukee Brewers,Milwaukee Brewers,1,1.0
777051,2025-07-21,Minnesota Twins vs Los Angeles Dodgers,Minnesota Twins,Los Angeles Dodgers,0,1.0
777053,2025-07-21,St. Louis Cardinals vs Colorado Rockies,St. Louis Cardinals,St. Louis Cardinals,1,1.0
777055,2025-07-21,Houston Astros vs Arizona Diamondbacks,Arizona Diamondbacks,Houston Astros,0,1.0
777057,2025-07-21,Athletics vs Texas Rangers,Texas Rangers,Texas Rangers,1,1.0
777059,2025-07-21,Chicago White Sox vs Tampa Bay Rays,Chicago White Sox,Chicago White Sox,1,1.0
777060,2025-07-21,Detroit Tigers vs Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,1,1.0
777061,2025-07-21,Los Angeles Angels vs New York Mets,New York Mets,New York Mets,1,1.0
777062,2025-07-21,San Diego Padres vs Miami Marlins,Miami Marlins,San Diego Padres,0,1.0
777063,2025-07-21,Boston Red Sox vs Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,1.0
777064,2025-07-21,Cincinnati Reds vs Washington Nationals,Washington Nationals,Washington Nationals,1,1.0
777065,2025-07-21,Kansas City Royals vs Chicago Cubs,Kansas City Royals,Kansas City Royals,1,1.0
777066,2025-07-21,New York Yankees vs Toronto Blue Jays,New York Yankees,Toronto Blue Jays,0,1.0
777068,2025-07-21,Baltimore Orioles vs Cleveland Guardians,Cleveland Guardians,Cleveland Guardians,1,1.0
777069,2025-07-21,San Francisco Giants vs Atlanta Braves,San Francisco Giants,Atlanta Braves,0,1.0
777018,2025-07-24,Seattle Mariners vs Los Angeles Angels,Seattle Mariners,Seattle Mariners,1,1.0
777019,2025-07-24,Baltimore Orioles vs Cleveland Guardians,Baltimore Orioles,Baltimore Orioles,1,1.0
777021,2025-07-24,Toronto Blue Jays vs Detroit Tigers,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777023,2025-07-24,San Diego Padres vs St. Louis Cardinals,San Diego Padres,St. Louis Cardinals,0,1.0
777025,2025-07-24,Athletics vs Houston Astros,Houston Astros,Athletics,0,1.0
777004,2025-07-25,New York Mets vs San Francisco Giants,San Francisco Giants,New York Mets,0,1.0
777005,2025-07-25,San Diego Padres vs St. Louis Cardinals,St. Louis Cardinals,St. Louis Cardinals,1,1.0
777006,2025-07-25,Seattle Mariners vs Los Angeles Angels,Los Angeles Angels,Los Angeles Angels,1,1.0
777007,2025-07-25,Athletics vs Houston Astros,Athletics,Athletics,1,1.0
777008,2025-07-25,Miami Marlins vs Milwaukee Brewers,Miami Marlins,Miami Marlins,1,1.0
777009,2025-07-25,Atlanta Braves vs Texas Rangers,Atlanta Braves,Texas Rangers,0,1.0
777011,2025-07-25,Washington Nationals vs Minnesota Twins,Minnesota Twins,Minnesota Twins,1,1.0
777012,2025-07-25,Los Angeles Dodgers vs Boston Red Sox,Boston Red Sox,Los Angeles Dodgers,0,1.0
777013,2025-07-25,Tampa Bay Rays vs Cincinnati Reds,Tampa Bay Rays,Cincinnati Reds,0,1.0
777014,2025-07-25,Arizona Diamondbacks vs Pittsburgh Pirates,Pittsburgh Pirates,Arizona Diamondbacks,0,1.0
777015,2025-07-25,Philadelphia Phillies vs New York Yankees,New York Yankees,Philadelphia Phillies,0,1.0
777016,2025-07-25,Toronto Blue Jays vs Detroit Tigers,Toronto Blue Jays,Toronto Blue Jays,1,1.0
777017,2025-07-25,Chicago Cubs vs Chicago White Sox,Chicago White Sox,Chicago White Sox,1,1.0
777020,2025-07-25,Colorado Rockies vs Baltimore Orioles,Colorado Rockies,Colorado Rockies,1,1.0
